Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.97,1.15,0.5,0.42,3.04,PlayStation 4
Killzone: Shadow Fall,2013.0,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02,PlayStation 4
inFAMOUS: Second Son,2014.0,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.5,3.01,PlayStation 4
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92,PlayStation 4
Mafia III,2016.0,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87,PlayStation 4
Diablo III,2014.0,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82,PlayStation 4
Far Cry: Primal,2016.0,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73,PlayStation 4
Need for Speed (2015),2015.0,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72,PlayStation 4
Madden NFL 18,2017.0,Sports,EA Sports,1.73,0.42,0.0,0.47,2.62,PlayStation 4
NBA 2K15,2014.0,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49,PlayStation 4
Dying Light,2015.0,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.4,2.45,PlayStation 4
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,1.0,0.63,0.44,0.34,2.42,PlayStation 4
Ratchet & Clank (2016),2016.0,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38,PlayStation 4
DriveClub,2014.0,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37,PlayStation 4
Uncharted: The Lost Legacy,2017.0,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37,PlayStation 4
Dragon Age III: Inquisition,2014.0,Role-Playing,Electronic Arts,1.07,0.8,0.08,0.38,2.34,PlayStation 4
No Man's Sky,2016.0,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26,PlayStation 4
Madden NFL 15,2014.0,Sports,EA Sports,1.58,0.25,0.0,0.41,2.25,PlayStation 4
Need for Speed: Payback,2017.0,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18,PlayStation 4
Destiny: The Taken King,2015.0,Shooter,Activision,0.97,0.8,0.05,0.36,2.18,PlayStation 4
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17,PlayStation 4
PlayStation VR Worlds,2016.0,Misc,Sony Interactive Entertainment,0.36,1.4,0.09,0.32,2.16,PlayStation 4
Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15,PlayStation 4
Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07,PlayStation 4
LittleBigPlanet 3,2014.0,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06,PlayStation 4
The Elder Scrolls Online,2015.0,MMO,Bethesda Softworks,0.74,0.98,0.0,0.33,2.05,PlayStation 4
Middle-Earth: Shadow of War,2017.0,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04,PlayStation 4
Dragon Quest XI,2017.0,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04,PlayStation 4
Rocket League,2016.0,Sports,505 Games,0.37,1.34,0.0,0.31,2.02,PlayStation 4
Just Cause 3,2015.0,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98,PlayStation 4
Dishonored 2,2016.0,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97,PlayStation 4
Lego Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,1.0,0.01,0.3,1.91,PlayStation 4
Until Dawn,2015.0,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9,PlayStation 4
Knack,2013.0,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88,PlayStation 4
The Evil Within,2014.0,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86,PlayStation 4
The Crew,2014.0,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79,PlayStation 4
Kingdom Hearts 1.5 + 2.5 Remix,2017.0,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75,PlayStation 4
For Honor,2017.0,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75,PlayStation 4
Titanfall 2,2016.0,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72,PlayStation 4
Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.0,0.29,1.72,PlayStation 4
NieR Automata,2017.0,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71,PlayStation 4
Tekken 7,2017.0,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7,PlayStation 4
Persona 5,2016.0,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64,PlayStation 4
The Order: 1886,2015.0,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62,PlayStation 4
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61,PlayStation 4
Detroit: Become Human,2018.0,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57,PlayStation 4
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54,PlayStation 4
NBA 2K14,2013.0,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54,PlayStation 4
Tomb Raider (2013),2014.0,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51,PlayStation 4
Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5,PlayStation 4
Rayman Legends,2014.0,Platform,Ubisoft,0.22,1.05,0.0,0.23,1.5,PlayStation 4
Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.58,0.67,0.0,0.25,1.49,PlayStation 4
Dragon Ball Fighter Z,2018.0,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46,PlayStation 4
South Park: The Fractured But Whole,2017.0,Role-Playing,Ubisoft,0.62,0.57,0.0,0.24,1.43,PlayStation 4
The Sims 4,2017.0,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39,PlayStation 4
Street Fighter V,2016.0,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39,PlayStation 4
Wolfenstein II: The New Colossus,2017.0,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36,PlayStation 4
WWE 2K18,2017.0,Sports,2K Sports,0.45,0.67,0.0,0.22,1.33,PlayStation 4
Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31,PlayStation 4
EA Sports UFC 2,2016.0,Sports,EA Sports,0.44,0.65,0.0,0.21,1.31,PlayStation 4
The Last Guardian,2016.0,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29,PlayStation 4
WWE 2K16,2015.0,Sports,Take-Two Interactive,0.43,0.65,0.0,0.21,1.29,PlayStation 4
Borderlands: The Handsome Collection,2015.0,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28,PlayStation 4
Project CARS,2015.0,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28,PlayStation 4
WWE 2K17,2016.0,Sports,2K Games,0.32,0.7,0.0,0.19,1.22,PlayStation 4
Guitar Hero Live,2015.0,Music,Activision,0.52,0.49,0.0,0.2,1.21,PlayStation 4
Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2,PlayStation 4
Mad Max (2013),2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2,PlayStation 4
Shadow of the Colossus,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2,PlayStation 4
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017.0,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2,PlayStation 4
Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19,PlayStation 4
