Pos,Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
585,Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,Xbox One
586,Goosebumps: The Game,,Adventure,,0.0,0.0,0.0,0.0,0.0,Xbox One
587,The Escapists: The Walking Dead,2015.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0,Xbox One
588,Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
589,Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
590,Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
591,Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,Xbox One
592,World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox One
593,The Binding of Isaac: Rebirth,,Action,,0.0,0.0,0.0,0.0,0.0,Xbox One
594,Super Dungeon Bros,2016.0,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0,Xbox One
595,Pro Cycling Manager 2016,2016.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox One
596,De-formers,,Action,,0.0,0.0,0.0,0.0,0.0,Xbox One
597,Wonder Boy: The Dragon's Trap (Remake),,Platform,,0.0,0.0,0.0,0.0,0.0,Xbox One
598,Rock of Ages II: Bigger and Boulder,,Action,,0.0,0.0,0.0,0.0,0.0,Xbox One
599,Fe,,Action,,0.0,0.0,0.0,0.0,0.0,Xbox One
600,We Sing (2016),2016.0,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
601,Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox One
602,Ace Combat 7: Skies Unknown,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,Xbox One
603,The Sexy Brutale,,Adventure,,0.0,0.0,0.0,0.0,0.0,Xbox One
604,Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,Xbox One
605,Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,Xbox One
606,AereA,2017.0,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox One
607,Moons Of Madness,2018.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox One
608,Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox One
609,Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
610,Biomutant,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
611,de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
612,Outcast: Second Contact,2017.0,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0,Xbox One
613,Code Vein,2019.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox One
